content,location_traffic_convenience
"""哎，想当年来佘山的时候，啥都没有，三品香算镇上最大看起来最像样的饭店了。菜品多，有点太多，感觉啥都有，杂都不足以形容。随便点些，居然口味什么的都好还可以，价钱自然是便宜当震惊。元宝虾和椒盐九肚鱼都不错吃。不过近来几次么，味道明显没以前好了。冷餐里面一个凉拌海带丝还可以，酸酸甜甜的。镇上也有了些别的大点的饭店，所以不是每次必来了。对了，这家的生意一如既往的超级好，不定位基本吃不到。不过佘山这边的人吃晚饭很早的，所以稍微晚点去就很空了。""",0
"""趁着国庆节，一家人在白天在山里玩耍之后，晚上决定吃李记搅团。
东门外这家店门口停车太难了，根本没空位置，所以停在了旁边的地下停车场。
一进去人满为患！！应该是过节的原因吧，还等了一会座我们一行8个人，用两个小桌子拼的。
我们点了#凉拌西葫芦丝#菜量很大，一大碗！而且不贵，菜上来之后服务员才浇上醋汁。味道也不错。
#黑腐竹拌豆王#名字大概是这个，腐竹是黑色的，并不像一般凉调菜的味道很普通，反而味道很惊艳。
#油饼#我们要了10个，一上来热热的蓬蓬的，看着特别有食欲，还配了小菜，大家都说油饼特别好吃，配小菜吃也很美味！推荐推荐！
#搅团#没有要烂大街的浆水搅团，而是要了水煮搅团，其实和水煮肉片类似，里面除了有搅团外还有腰花肥肠等还有一些蔬菜，搅团吃上真心不错！面和的刚刚好！五星！
还有一个汤，好像是西红柿鸡蛋面疙瘩那种的，也特别家常，量超大，味道也不错。
剩下就点了两三个家常菜啦这里就不一一推荐啦。
我们8个人一共花了200左右，用了代金券，而且团购的时候原价85的代金券团购那天刚好73，所以一共花了150左右，所以人均才20！吃的撑撑的！棒！
总体来说他家家常菜价格不贵，好多素菜都在10元以内，味道也很好，很适合一家人来吃吃家常便饭。
祝生意兴隆啦！还会再光临哒！""",0
"""这家店是我目前吃到的最干净的串串店，目前看到最有意思的串串店。
菜单是张试题卷，很有新意，和80后餐厅有点像，比较怀旧，装饮料的杯子也是80年代的搪瓷杯！

整体味道还不错，至少锅底看起来挺干净的。不过锅底味道一般，点的鸳鸯锅，基本没吃过白锅，太咸，也不鲜。下次直接红锅就好了。

2个人干掉将近60串串串，感觉还是挺能吃的。
老板服务什么都还不错，小工就差很多，看来还需要多培训培训。
当场点评还能送一杯冰粉，冰粉好大一杯，感觉不需要再点饮料了。

唯一让我很想吐槽的就是油碟——花生酱之类的酱料竟然不能续加！！！不能续加！！！上来给我的一碟本来就不多，吃完了还不让加！！！还要再付钱！！！下次去吃，油碟必须加满！""",0
"""中午和领导偷偷跑出来开小灶啦，到这家来顿料理，解馋之余放松放松，日本的习惯是这样吗，哈哈哈，吃顿饭也能用丰富的花样把生活的情调体现的淋漓尽致；这里的菜品繁多、菜肴精致、色彩斑斓，点了很多哦，很漂亮，都不舍得吃了，鱼啊、虾啊肉质很嫩，口感很棉很滑，配上酱汁，很美味啊，鸡块做的也很香，外焦里嫩的，鸡肉的本味加上面糊的焦嫩，以及火候的掌握，呈现出来的功力确实非凡，还有米粉啊鲜汤啊，这里的师傅的手艺的确了得，棒棒哒""",0
"""    拖了很久很久才来补的点评，之前和朋友一块儿去的，用的是代金卷（不晓得现在这家店还在不在）。
    位置：地方算是在一个闹市里的卡卡角角吧。就在红旗河沟大转盘国美电器旁，店面不醒目，因为店面前面就是一个停车场，车子基本把里圈儿的店面挡完了，我们来的时候就找了好一阵。
    环境：典型的泰式东南亚风格，到处都是黄灿灿的，差点闪瞎我的眼。店面不大，只有十几桌的样子。
    菜品：始终觉得套餐不如单点划算，就和友人要了一个泰式火锅和烫火锅的荤素菜类、及大排档的海鲜小炒。
   【冬阴功汤底】第一次尝试这一个典型的泰国菜还是在泰香米，那也算是重庆开的泰国菜鼻祖了吧。。当时点了冬阴功汤只觉得各种不适应，甜的咸的辣的各种口感混合到一堆，就像吃的韩国冷面里面还加了新鲜苹果一样，觉得妖艳惨了，偏偏香料味又浓，总之各种不安逸，哪里想得到现在越吃越对味了也~不过它家的冬阴功汤个人感觉非常适合重庆人的口感，应该是改良了的，辣味重一些，酸味适当，没有添加过多的香料。喝起来还有点贵州酸辣汤的感觉。调和的蘸酱也配的很恰当，有蒜蓉和麻辣的，不会很冲的豆豉味。涮锅的菜品也不错，肥牛卷肥厚适宜，厚薄均匀。金针菇也不是水哒哒的，还点了一个日式的粉丝，吃起比本土的粉丝更加Q弹~（但愿没有加撒子奇怪的东西）
    【蒜蓉粉丝蒸元贝】海鲜烧烤必点~味道没撒好说的，就是元贝个头稍小，略烤过头。
    【炒花甲】海鲜大排挡必点，比起其他的贝壳类，这个比较大一个~肉也比较多，好打理。就是吃起来沙有点太多了。。比较折磨人。""",0
"""家门口开了家897，在网上搜了下分店评论，说还不错，实惠！去尝了一下，小小的店，感觉和汉堡小子差不多，点了一个超级至尊，现场制作，看着挺简单的！我拿了宣传单看了一下，图片上和必胜客的差不多，我看见我的披萨出来后，指着图片上的问是不是至尊，以为感觉我的不像至尊，老板说图片是网上下载的，一切以实物为准，我惊呆了，好吧！回家尝了一下，味道不错，料很足，薄薄的底，脆脆的，芝士也很多，还有牛肉和虾，性价比还是很高，以后还是会去购买！最后我想提个建议，希望工作人员能带个口罩，带个手套，毕竟是饮食行业！""",0
"""本来说赶在月底前带闺蜜去把我年会发的渔门客栈的券用了，结果天公不作美地下雪，闺蜜感觉那个地方有点偏远，交通不便，于是临时改成了国贸见。
见面后也不知吃什么，就来楼上随便逛逛，结果发现了这家新开的店。好奇宝宝自然要选择没吃过的，“勇于以身试法”
这家店是以泰式火锅为主。

【位置】熟悉国贸的不难找，曼玉的旁边的旁边。

【环境】
光线比较暗，比较简易的装修中带有泰国民族风情，有点神秘，还用了有地中海风情的吊灯。
一进去以为没什么人，因为隔断做得还不错，进去有点别有洞天的感觉，其实客人也不少，但是比较静谧，座位的空间私密性比较好，不嘈杂。

【服务】
服务还是很好的，好到我们略有点尴尬，
于是我忍不住问了句是一人服务一桌儿吗？答曰一人对两桌。
这点感觉也还不错，倒水、上菜、讲解、帮忙涮菜什么的全都不必多说，自有人全程帮你。
吃完还有大堂经理来认真询问你的意见建议什么的，刚开业也是诚意满满。

【巴厘南洋锅】（￥58）
印象中大概有3、4种锅底选择，单味道的都是28元，这个3味的锅底是￥58，建议尝一尝这个特色。就是这个锅底稍微贵了点。
这款锅底是由泰式冬阴功汤锅底，椰汁锅底和什么牛肉汤锅底3种味道的组合，端上来的火锅也是隔成了3份。
端上来之后服务员又现放入青柠、南姜、泰国小米辣等调味，然后可以先尝尝汤味，冬阴功的汤酸辣中又带有浓浓姜的香味，还是挺赞的。
椰汁的汤底比较清新，没有二爷饕锅的浓香，但是不会腻。
不同的锅底适合涮不同的菜，这点服务员也会细心讲解。
个人感觉汤底的味道都不错，涮过肉之后会更加鲜美，牛肉汤底有点鸡肋，不过中老年人可能会比较喜欢。

【美味奇缘鲜肉套餐】（2人份￥128）
这里的泰式火锅套餐有两种，这次我们选的这种，还有一种以海鲜为主打的，
价格是按照分量，2人份多少钱，3人份多少钱这样的
俩女生点个双人份的，再点个主食就可以了，有男生估计得3人套餐。

这个套餐里有肉有菜，营养搭配还是很合理的。
盛放菜品的戏说下就是像唐僧化缘用的“钵”的放大版。

一钵肉菜是肥牛卷，牛肉丸，午餐肉，三黄鸡，鲜虾，虾滑等。
另一钵素菜是生菜，茼蒿，娃娃菜，玉米，金针菇，木耳，莲藕，红薯片，土豆片，粉条等。

肉菜里比较喜欢虾滑 牛肉丸和午餐肉。不太喜欢三黄鸡。

素菜都挺喜欢的，特别是粉条的品质和口感都很不错。

【香茅蒜油碟】（￥6）
点这个蘸料其实是因为刚好这几天不能吃辣。
这款蘸料和老重庆火锅倒挺像，香油蒜蓉，只是更清新些，没那么油。

感觉一般，而且这次我不吃辣的话为何还要香油蒜蓉呢，又不需要护胃解腻。。。
有加入一点点香茅草，但比较少

【巴厘香辣碟】（￥6）
这个卖相看着很不错，红红的辣酱里还放着一块青柠，我最近不能吃辣就没尝。酸辣味

其实我觉得不用要蘸料或者俩人要一碟蘸料就行，也可能我口味比较轻。

我还是比较喜欢每个锅不同的汤汁味道，用蘸料反而遮盖了汤底味，我觉得每个味道的汤底都挺好喝的。
而且中途续汤服务员也都加的不同锅底的原汤，所以吃到最后汤底都还是会很好。

【曼谷菠萝炒饭】（￥26）
我们是开业第三天去的，刚好赶上当天赠送菠萝炒饭，就不用点主食啦，而且所有餐品8.8折，Lucky~~

菠萝炒饭也是用半颗菠萝做容器端上来的，米饭、菠萝块、胡萝卜丁、青豆、玉米粒、鸡蛋一起炒的，火候拿捏得不错，菠萝肉的新鲜和清脆的口感还很好地保留着。
炒饭的米口感也比较清爽不黏腻。
就是不知是提前炒好的还是一次炒太多，炒饭很容易冷掉，就有点影响味道。
整体算是清爽～

后来又去了一次，单点的而没点套餐，推荐 【牛肉】，香辣味腌制过的，涮涮很滑嫩。
饮品推荐一款【香茅青柠特饮】，具体名字忘了，大概是这。有东南亚菜特有的香茅草，还有青柠，这样的搭配味道很特别，微酸但不涩，清爽中有种淡淡的植物香味。大Boss说本来这款饮品里还有薄荷，只是我去的时候没有了。想想加薄荷叶之后应该更清爽，配合火锅真是perfect

【小结】
酸酸辣辣又清新健康的泰式火锅，更适合女生或者情侣。
味道没有很惊艳，但是我挺喜欢泰式火锅，喜欢泰式冬阴功汤的酸辣味～
另外大Boss属于挺有气质的男人，而且特别虚心接受建议，也挺亲切热心，哇咔咔～

【建议】
1.门头颜色太低调，不够显眼，而且光看店名不知道是做什么的餐饮，让到那里选择吃什么的人们会有点犹豫。
2.店内装修过于简洁，不过Boss也说正打算全面装修。
3.宣传还要加强，不如和点评的霸王餐合作""",0
"""对口味，服务都非常满意的一家日料店！九福其实距离家和公司都蛮近，但是最近才有机会过来亲自尝一下！中午的时候过来吃的定食套餐。两个人点了一个酱烧牛舌套餐，一个咖喱猪排套餐，一片三文鱼，一片金枪鱼，已经就吃的又满足又饱肚！套餐是只有中午才有的，点起来很划算。
酱烧牛舌套餐:店家调过价格了，比之前贵了20块钱，但是涨价之后也是划算的，因为这里面真的是满满一大份牛舌！感觉自己应该吃了一整条牛的舌头！牛舌特别大块！比我之前吃过的任何牛舌量都要足！而且特别嫩！从来没吃过这么香嫩的牛舌！店家简直良心！
咖喱猪排套餐:朋友很想吃咖喱于是点了一份。味道不错，正常水平。
三文鱼:要的25块钱fattier的部分。真的很厚实的一片鱼生！而且很新鲜口感也很细腻！绝对对得起这25块钱了！
金枪鱼:金枪鱼是20块钱一片。和三文鱼一样，也是很厚实充足的一片，以及也是非常的新鲜，吃起来很满足！
套餐里面都配一个茶碗羹，味道非常鲜美滑嫩！上面有蟹足棒，菌类，虾子提味，鸡蛋羹里面还藏了一个蛤蜊提鲜。有一个沙拉，里面的玉米超级嫩哦！我自己去市场买的玉米从来都没有这么嫩好吗。。秋葵等等蔬菜，都很新鲜，配上日式沙拉汁，很爽口！有一个味增汤，汤里面还有一块细腻的鱼肉，也很鲜美！赠送的餐前腌制萝卜小菜都很用心，甜酸口刚好开胃。还有餐后赠送的绿豆西米露。这个也很好喝！喝起来很清爽刚好舒缓一下，喝完了也有唇齿留香的感觉！
两个人用完代金券人均85的样子。这个价格配上这样的食物品质就真的是太值了！准备再有机会再来尝尝店家其他的菜色！非常开心和满意的一次用餐体验！""",0
"""有人说好吃，一直想去试一下，一个人去吃太多，今天约了同事5个人一起吃的，进去感觉装修不错，中午有三四桌吧，但是我们坐窗边，没开空调，感觉好热，叫服务员开空调，说没有空调，问题是我们头顶那些空调口是摆设吗？后来换到了楼梯口的位置，感觉好多了，但那个位置也是我同事自己去找的，服务员也没告诉我们，皮萨是现做的，透明的玻璃窗可以看到里面的制作情况，饼皮确实是甩出来的，我们点的大号，那个饼皮老大的一张，可惜点的是摩卡卷边，本来以为里面是芝士，其实是类似酸奶油的东西，我觉得不好吃，同事觉得还好，口味点的是荤食天地，还是肉食天地来着，就是海鲜岛下面那个，感觉一般，主要味道没啥特别突出的，卷边的酱和最后上的黄色的酱口感不搭，大号5个人还是够吃的，不需要点其它的了，我们还点了一份炬饭，炬饭味道还不错，里面的番茄酱蛮好吃的，还有一个大虾仁，拉丝也不错，比皮萨好吃，还点了个摇摆薯条，量很少，每人2根吧，味道一般，主要不脆，撒了点芝士粉，感觉有点腻。另外说说这家店的服务，这家店的服务员巨多，但是大部分都闲在那里闲聊，客人杯子没水了也不加，上的菜吃完了盘子也不收，叫服务，也不走到客人前面，隔空很远的答话，反正我是老板绝对要辞退几个的。""",0
"""那天是带着娃出动，为着是煲仔饭。自从怀孕到娃三个多月，就没有好好吃过煲仔饭，想的不行了。

饭店整体装修很大气，感觉挺好，推车里的小胖妞真有人气，大家都凑上来看她。虽未订座，带娃的缘故被安排到一个宽敞的角落，放婴儿推车安全方便，我们2个大人自己坐的也舒服。服务还不错。期间也一直朝我们笑阿笑的。

招牌腊味煲仔饭79米，为着煲仔饭而来，总得点一煲，价格略贵。酱汁小姐倒入拌匀，香喷喷的一碗。我对腊味煲仔饭是真爱，拿起筷子就扒拉，一碗下肚，自己动手再添多一碗，这才慢慢回忆起唇舌间的味道。腊味和饭都挺香，但我觉得可以更油润一些会更好吃。

芥末虾球119米，价格略辣手阿。黄灿灿一盆上来，看看这个量，顿觉安心。还挺多的。而且虾仁个头很大只。外面包裹着炸脆的薄薄一层面粉还有我爱极的芥末味。十分好吃。缺点就是稍微冷掉一点口感就大打折扣。所以定要乘热吃。

椰子竹丝鸡汤29米，老火汤倒是不贵价。打开盅盖看一下，有点失望，一些鸡肉蒸出来的浮末血水之类未撇干净。显得汤色不怎么好看。尝一口鲜甜。用的老椰子，炖汤老椰比青椰好，香味更浓一丝。

古法果木北京烤鸭159米，价格不便宜。口感却大大失望呀，师傅带着墨镜站在一边片鸭，cool是满cool的。。鸭皮不够脆，鸭肉也十分普通，倒是包鸭肉的东西给了蛮大一堆。第一次尝试用片的很薄的萝卜片包鸭肉，味道还不错。多的鸭架做成了类似于烧鸭的菜上桌，肉还有满多的，后来吃不下打包了。沪上烤鸭，确实没有吃过比大董的更好的了。。

啫啫黄鳝煲99米，滚烫上桌。香气飘来。黄鳝是那种爽脆的口感，绝对有别于上海宁平日里那种蒜子红烧黄鳝的软糯甜。怎么说呢，黄鳝是很新鲜个子也粗壮，可我貌似偏爱炖更久一点的软糯口感。下次来换个煲吃吃，这家听说首创了啫啫煲，周围点2个煲的都不在少数，我已瞄好了牛舌煲，下次要吃这个。

甜品我要了一个杨枝甘露，乏善可陈。
餐后水果哈密瓜很甜。

买单一共521米。觉得不点烤鸭就实惠许多啦，会再来。""",0
