id	content	trian
613	如图，E和F分别是边AB和AC中点，D是BC边上一点，若∠AED=∠AFD，请问四边形AEDF是平行四边形吗？为什么？	0
148	如图，在△ADC中，∠ADC=90°，△ADC≌BDH，那么BH与AC互相垂直吗？请说明理由．	1
782	（2019春?玉溪期末）已知：如图，OA⊥OB，点C在射线OB上，经过C点的直线DF∥OE，∠BCF=60°．求∠AOE的度数．	0
679	（2018春?拜泉县期末）已知：如图，直线AB与CD被EF所截，∠1=∠2，求证：AB∥CD．	0
544	如图，在平面直角坐标系中，A（2，1），B（4，-3），且以A，B，O，C为顶点的四边形为平行四边形，求点C的坐标．	0
275	如图，D是BC上一点，AB=AD，BC=DE．△ABC≌△ADE，求证：∠CDE=∠BAD．	1
1419	如图，在长方形ABCD中，∠DAE=∠CBE=45°，AD=1，分别写出长度为有理数的线段与长度为无理数的线段．	0
1127	如图，在矩形ABCD中，AB=5cm，BC=7cm，点E从点A出发，沿AB方向以1cm/s的速度向点B移动，同时，点F从点B出发，沿BC方向以2cm/s的速度向点C移动，当点F到达点C时，两点同时停止运动，设运动时间为t秒．（1）当t为何值时，△BEF的面积为5cm^2？（2）当t为何值时，△BEF与△ABD相似？	1
1071	已知如图，已知AB⊥AC，∠DAB=∠C，求∠CDA的度数．	1
482	如图，直线a、b被c所截，∠1-∠2=11°，∠3+∠4=169°，求∠1和∠2的度数．[方法提示：注意邻补角]．	0
384	如图，△ABC中，∠C=90°，点D在AC上，已知∠BDC=45°，CD=10，AB=20，求∠A的度数．	1
435	（2017秋?滨海县期末）如图，直线AB、CD相交于点O，OE平分∠BOD，∠AOC=72°，∠DOF=90°．（1）求∠DOE的度数；（2）求∠EOF的度数．	0
913	已知，如图，在Rt△ABC中，E是两锐角平分线的交点，ED⊥BC，EF⊥AC，垂足分别为D，F，求证：四边形CDEF是正方形．	0
1153	在△ABC中，∠ACB=90°，DE⊥AB．（1）指出图中的相似三角形？并说明理由．（2）若分别延长DE，BC交于点F，这时，图中还有哪些三角形相似？（3）若连接EC、AF，这时，图中还有哪些三角形也相似？（4）若∠B=60°，AF=6，求CE长．	1
614	如图，分别以△ABC的三边为边长，在BC的同侧作等边△ABD，等边△BCE，等边△ACF，连接DE，EF．求证：四边形ADEF是平行四边形．	1
512	如图，直线AB、CD、EF相交于点O，∠AOC=35°，∠COF=80°．（1）找出图中共有几对对顶角，分别表示出来；（2）写出∠AOC的补角，并求∠AOC的补角的度数；（3）求∠AOF的对顶角的度数．	0
